faixa_etaria,quantidade,sexo,tipo
0-4,300256,Masculino,População
5-9,300367,Masculino,População
10-14,334635,Masculino,População
15-19,338987,Masculino,População
20-24,340010,Masculino,População
25-29,296825,Masculino,População
30-34,283326,Masculino,População
35-39,265498,Masculino,População
40-44,227704,Masculino,População
45-49,183499,Masculino,População
50-54,158430,Masculino,População
55-59,130761,Masculino,População
60-64,104514,Masculino,População
65-69,82423,Masculino,População
70-74,60639,Masculino,População
75-79,41663,Masculino,População
80+,46891,Masculino,População
0-4,287147,Feminino,População
5-9,287542,Feminino,População
10-14,320331,Feminino,População
15-19,326732,Feminino,População
20-24,334001,Feminino,População
25-29,306421,Feminino,População
30-34,303269,Feminino,População
35-39,286891,Feminino,População
40-44,245603,Feminino,População
45-49,197005,Feminino,População
50-54,172138,Feminino,População
55-59,145474,Feminino,População
60-64,119449,Feminino,População
65-69,96934,Feminino,População
70-74,71062,Feminino,População
75-79,50883,Feminino,População
80+,67288,Feminino,População
